job_id,job_title,salary_usd,experience_level,company_location,education_required,years_experience,posting_date,company_name
AI00012,AI Architect,115047,Executive,South Korea,Master,15,2024-07-16,TechCorp Inc
AI00018,Machine Learning Engineer,181139,Executive,France,Associate,15,2024-04-24,AI Innovations
AI00034,ML Ops Engineer,178183,Executive,Finland,Associate,16,2024-03-01,Predictive Systems
AI00036,Head of AI,126942,Executive,Finland,Associate,10,2024-01-31,Autonomous Tech
AI00038,Robotics Engineer,111381,Executive,Israel,Master,18,2024-01-14,Autonomous Tech
AI00040,Data Engineer,166080,Executive,Netherlands,Associate,15,2024-03-01,DeepTech Ventures
AI03234,Data Engineer,127102,Executive,Finland,Master,15,2025-04-11,Quantum Computing Inc
AI03237,AI Software Engineer,326039,Executive,Switzerland,Associate,10,2024-06-20,Algorithmic Solutions
AI03239,AI Architect,181001,Executive,Australia,PhD,18,2025-03-29,Predictive Systems
AI03241,Machine Learning Engineer,230333,Executive,France,Bachelor,11,2024-08-09,DeepTech Ventures
AI06341,Head of AI,133993,Executive,India,Associate,11,2024-10-05,Smart Analytics
AI09737,AI Software Engineer,213387,Executive,Canada,Master,19,2024-09-16,Future Systems
AI09739,AI Research Scientist,135461,Executive,South Korea,Master,18,2024-08-23,Quantum Computing Inc
AI14715,Data Scientist,271581,Executive,Norway,PhD,11,2025-01-26,Future Systems
AI14717,Head of AI,200378,Executive,Singapore,Bachelor,11,2025-02-16,DataVision Ltd
AI00003,AI Specialist,152626,Mid-Senior level,Switzerland,Associate,2,2025-03-18,Autonomous Tech
AI00007,Principal Data Scientist,79670,Mid-Senior level,United Kingdom,Associate,3,2024-12-29,DataVision Ltd
AI00020,Research Scientist,93851,Mid-Senior level,Netherlands,PhD,4,2024-05-01,AI Innovations
AI00021,Data Engineer,134197,Mid-Senior level,Norway,Bachelor,3,2024-06-21,AI Innovations
AI00022,Autonomous Systems Engineer,102550,Mid-Senior level,United States,Bachelor,2,2024-04-23,Cognitive Computing
AI00024,AI Product Manager,52167,Mid-Senior level,Austria,Master,4,2024-06-07,Cloud AI Solutions
AI00025,ML Ops Engineer,53923,Mid-Senior level,China,Bachelor,2,2024-10-27,AI Innovations
AI00027,ML Ops Engineer,80979,Mid-Senior level,Australia,Master,2,2024-11-18,TechCorp Inc
AI00028,Data Analyst,52997,Mid-Senior level,Austria,PhD,2,2025-01-10,Predictive Systems
AI00030,ML Ops Engineer,82083,Mid-Senior level,Israel,Master,2,2024-01-18,Future Systems
AI00037,AI Architect,53752,Mid-Senior level,Japan,Associate,2,2024-10-17,TechCorp Inc
AI00041,Data Scientist,96956,Mid-Senior level,United States,Bachelor,2,2024-02-24,DataVision Ltd
AI00002,AI Software Engineer,61895,Entry level,Canada,Master,1,2024-11-20,TechCorp Inc
AI00005,AI Consultant,54624,Entry level,France,Master,0,2025-04-15,Advanced Robotics
AI00008,NLP Engineer,70640,Entry level,France,Master,0,2024-06-07,Cloud AI Solutions
AI00014,Autonomous Systems Engineer,68760,Entry level,Norway,Master,0,2024-02-11,Cloud AI Solutions
AI00016,AI Product Manager,78846,Entry level,United Kingdom,PhD,0,2024-09-28,DataVision Ltd
AI00017,Principal Data Scientist,59823,Entry level,India,Bachelor,1,2025-02-06,Predictive Systems
AI00049,AI Specialist,288815,Executive,Switzerland,Bachelor,12,2024-08-08,Cognitive Computing
AI00050,AI Consultant,124871,Executive,Austria,PhD,19,2025-03-10,Autonomous Tech
AI00052,Research Scientist,115376,Executive,India,Master,17,2024-03-12,Autonomous Tech
AI00068,Machine Learning Engineer,316182,Executive,Denmark,Associate,12,2025-02-09,Digital Transformation LLC
AI00077,AI Product Manager,213783,Executive,Canada,Bachelor,16,2024-09-19,Quantum Computing Inc
AI00080,AI Research Scientist,284486,Executive,United States,Master,12,2025-02-13,TechCorp Inc
AI00081,Data Analyst,157597,Executive,France,Bachelor,17,2024-08-31,Neural Networks Co
AI00082,ML Ops Engineer,196942,Executive,Australia,Master,19,2024-04-01,TechCorp Inc
AI00083,Machine Learning Researcher,207548,Executive,Canada,PhD,10,2024-02-05,Cognitive Computing
AI00085,ML Ops Engineer,125666,Executive,Finland,PhD,13,2024-06-19,TechCorp Inc
AI00048,AI Software Engineer,69020,Mid-Senior level,China,Bachelor,4,2024-09-05,TechCorp Inc
AI00051,AI Architect,70391,Mid-Senior level,Germany,PhD,4,2024-08-16,TechCorp Inc
AI00053,Research Scientist,106579,Mid-Senior level,United States,Associate,3,2024-02-24,Cognitive Computing
AI00055,Research Scientist,67607,Mid-Senior level,Israel,Master,4,2024-08-05,Quantum Computing Inc
AI00056,AI Architect,88470,Mid-Senior level,Canada,Associate,3,2024-07-29,Autonomous Tech
AI00057,Autonomous Systems Engineer,79863,Mid-Senior level,India,Associate,4,2024-09-28,Autonomous Tech
AI00059,Machine Learning Engineer,85645,Mid-Senior level,Germany,Associate,4,2024-02-09,AI Innovations
AI00063,AI Consultant,102382,Mid-Senior level,Switzerland,PhD,3,2024-03-23,Smart Analytics
AI00064,AI Software Engineer,99972,Mid-Senior level,Australia,PhD,4,2024-02-20,Cloud AI Solutions
AI00067,Autonomous Systems Engineer,71405,Mid-Senior level,Israel,Associate,4,2024-09-01,Advanced Robotics
AI00070,Principal Data Scientist,78338,Mid-Senior level,France,Associate,3,2024-10-31,Cognitive Computing
AI00071,NLP Engineer,51907,Mid-Senior level,Israel,Bachelor,4,2024-02-14,Neural Networks Co
AI00073,Machine Learning Researcher,124820,Mid-Senior level,Norway,Associate,3,2024-08-02,Cognitive Computing
AI00047,AI Research Scientist,46753,Entry level,India,PhD,1,2024-11-16,Quantum Computing Inc
AI00058,Machine Learning Engineer,60299,Entry level,Israel,PhD,0,2025-03-22,Advanced Robotics
AI00061,Data Scientist,49365,Entry level,China,Associate,1,2024-06-22,Predictive Systems
AI00065,Data Engineer,64129,Entry level,South Korea,Bachelor,0,2024-12-15,Machine Intelligence Group
AI00069,Machine Learning Researcher,72459,Entry level,Germany,Bachelor,0,2024-08-30,Quantum Computing Inc
AI00075,Data Engineer,51920,Entry level,Sweden,PhD,0,2025-04-08,Digital Transformation LLC
AI00076,Data Engineer,56427,Entry level,Singapore,Master,0,2024-11-16,DeepTech Ventures
AI00089,Principal Data Scientist,152118,Executive,France,Master,11,2024-05-20,AI Innovations
AI00095,Machine Learning Researcher,138945,Executive,Canada,Master,19,2024-07-10,DeepTech Ventures
AI00099,Machine Learning Researcher,290199,Executive,Switzerland,Master,12,2025-01-12,Smart Analytics
AI00102,AI Product Manager,138466,Executive,Israel,Associate,16,2024-01-25,Smart Analytics
AI00105,Data Engineer,213287,Executive,United Kingdom,Master,13,2025-03-03,Cloud AI Solutions
AI00107,AI Research Scientist,152658,Executive,South Korea,Associate,16,2024-01-28,TechCorp Inc
AI00111,Machine Learning Researcher,205357,Executive,United States,Bachelor,18,2024-03-08,Predictive Systems
AI00112,AI Architect,165676,Executive,France,Associate,18,2024-05-13,Neural Networks Co
AI00119,AI Software Engineer,231078,Executive,Singapore,Bachelor,17,2024-04-15,Neural Networks Co
AI00124,Machine Learning Researcher,182275,Executive,Austria,PhD,14,2025-04-19,DeepTech Ventures
AI00126,Data Engineer,143246,Executive,South Korea,Master,11,2024-12-25,Future Systems
AI00094,AI Research Scientist,111528,Mid-Senior level,United States,PhD,3,2024-03-01,Predictive Systems
AI00098,NLP Engineer,84797,Mid-Senior level,Canada,Master,4,2024-12-04,Machine Intelligence Group
AI00103,Data Analyst,91577,Mid-Senior level,Netherlands,Bachelor,3,2024-01-27,Algorithmic Solutions
AI00104,Computer Vision Engineer,92875,Mid-Senior level,Sweden,PhD,3,2024-07-21,Digital Transformation LLC
AI00106,NLP Engineer,62171,Mid-Senior level,Japan,Bachelor,2,2024-09-15,AI Innovations
AI00108,ML Ops Engineer,95085,Mid-Senior level,Norway,Associate,2,2024-03-20,Predictive Systems
AI00109,Deep Learning Engineer,86750,Mid-Senior level,France,PhD,2,2024-12-13,AI Innovations
AI00110,AI Specialist,64261,Mid-Senior level,Israel,Master,2,2024-09-04,TechCorp Inc
AI00123,Machine Learning Engineer,125654,Mid-Senior level,Singapore,PhD,4,2024-06-20,DataVision Ltd
AI00125,Machine Learning Researcher,117708,Mid-Senior level,Denmark,PhD,4,2024-02-24,Neural Networks Co
AI00086,NLP Engineer,73174,Entry level,Denmark,Associate,0,2024-07-14,Machine Intelligence Group
AI00087,Autonomous Systems Engineer,33314,Entry level,Israel,Bachelor,0,2025-04-16,Future Systems
AI00088,AI Specialist,69914,Entry level,United States,Associate,0,2025-02-15,Smart Analytics
AI00090,AI Software Engineer,78014,Entry level,France,PhD,0,2024-11-19,Digital Transformation LLC
AI00091,Research Scientist,48466,Entry level,Canada,Bachelor,0,2025-03-10,Predictive Systems
AI00116,NLP Engineer,61055,Entry level,United States,Bachelor,0,2024-06-04,Autonomous Tech
AI00129,AI Product Manager,95673,Executive,Ireland,Associate,17,2024-08-24,Neural Networks Co
AI00134,ML Ops Engineer,141791,Executive,France,PhD,13,2025-02-03,Algorithmic Solutions
AI00135,AI Product Manager,258637,Executive,United Kingdom,Master,11,2025-01-16,Cognitive Computing
AI00138,Machine Learning Engineer,324557,Executive,Denmark,PhD,11,2024-11-06,Machine Intelligence Group
AI00145,AI Product Manager,149053,Executive,Austria,Master,17,2024-11-17,Smart Analytics
AI00147,AI Research Scientist,224919,Executive,Australia,Associate,19,2024-12-02,TechCorp Inc
AI00148,Machine Learning Researcher,220439,Executive,Netherlands,Associate,12,2024-03-30,TechCorp Inc
AI00153,Data Analyst,184637,Executive,Sweden,Bachelor,11,2024-05-23,Machine Intelligence Group
AI00160,AI Software Engineer,190314,Executive,Netherlands,PhD,12,2024-05-23,Digital Transformation LLC
AI00161,Principal Data Scientist,198403,Executive,Denmark,Associate,15,2024-03-14,Digital Transformation LLC
AI00136,NLP Engineer,49485,Mid-Senior level,Finland,Associate,2,2024-08-09,Cloud AI Solutions
AI00139,AI Consultant,73894,Mid-Senior level,France,Bachelor,4,2024-08-08,Digital Transformation LLC
AI00141,Data Scientist,94478,Mid-Senior level,Denmark,PhD,4,2024-05-24,Algorithmic Solutions
AI00143,Machine Learning Researcher,116012,Mid-Senior level,Denmark,Master,3,2024-09-23,Predictive Systems
AI00146,Principal Data Scientist,88230,Mid-Senior level,Austria,Associate,4,2024-05-22,DeepTech Ventures
AI00151,NLP Engineer,57266,Mid-Senior level,Ireland,Bachelor,3,2024-08-11,Neural Networks Co
AI00152,Deep Learning Engineer,66384,Mid-Senior level,Australia,Associate,2,2024-04-21,Autonomous Tech
AI00154,AI Research Scientist,92445,Mid-Senior level,Netherlands,Bachelor,4,2024-10-22,DataVision Ltd
AI00156,Head of AI,53374,Mid-Senior level,China,PhD,2,2024-06-22,Algorithmic Solutions
AI00158,NLP Engineer,157091,Mid-Senior level,Norway,PhD,2,2025-03-04,DataVision Ltd
AI00163,AI Software Engineer,51898,Mid-Senior level,Israel,Associate,2,2024-10-05,Machine Intelligence Group
AI00167,NLP Engineer,125152,Mid-Senior level,Norway,PhD,3,2024-08-11,Smart Analytics
AI00128,Research Scientist,69487,Entry level,Switzerland,Master,0,2024-11-04,Machine Intelligence Group
AI00130,AI Software Engineer,59405,Entry level,Austria,Bachelor,1,2025-03-18,Smart Analytics
AI00132,AI Software Engineer,42835,Entry level,South Korea,Bachelor,0,2025-03-02,Machine Intelligence Group
AI00133,Autonomous Systems Engineer,61893,Entry level,Canada,Associate,1,2024-03-28,Predictive Systems
AI00142,Autonomous Systems Engineer,53088,Entry level,Austria,PhD,1,2025-04-12,Machine Intelligence Group
